picomite,normalized,missing_surface,classification,picomite_handlers,mmb4l_surfaces,notes
*/,*/,command,portable,cmd_endcomment,-,Language/runtime feature with no required PicoMite-only hardware.
/*,/*,command,portable,cmd_comment,-,Language/runtime feature with no required PicoMite-only hardware.
ADC,ADC,command,hardware,cmd_adc,-,"Depends on PicoMite hardware, display, input, bus, or firmware backend."
Array Add,ARRAY ADD,command,portable,cmd_add,-,Language/runtime feature with no required PicoMite-only hardware.
Array Insert,ARRAY INSERT,command,portable,cmd_insert,-,Language/runtime feature with no required PicoMite-only hardware.
Array Set,ARRAY SET,command,portable,cmd_arrayset,-,Language/runtime feature with no required PicoMite-only hardware.
Array Slice,ARRAY SLICE,command,portable,cmd_slice,-,Language/runtime feature with no required PicoMite-only hardware.
Astro,ASTRO,command,portable,cmd_star,-,Language/runtime feature with no required PicoMite-only hardware.
Backlight,BACKLIGHT,command,hardware,cmd_backlight,-,"Hardware command, but a target-specific Luckfox/PicoCalc backend may be useful because the device has controllable backlight support."
base$(,BASE$,function,portable,fun_base,-,Language/runtime feature with no required PicoMite-only hardware.
Bezier,BEZIER,command,portable,cmd_bezier,-,Language/runtime feature with no required PicoMite-only hardware.
Bit(,BIT,command,portable,cmd_bit,-,Language/runtime feature with no required PicoMite-only hardware.
Bit(,BIT,function,portable,"cmd_bit, fun_bit",-,Language/runtime feature with no required PicoMite-only hardware.
Bitstream,BITSTREAM,command,hardware,cmd_bitstream,-,"Depends on PicoMite hardware, display, input, bus, or firmware backend."
Blit Memory,BLIT MEMORY,command,portable,cmd_blitmemory,-,Language/runtime feature with no required PicoMite-only hardware.
Byte(,BYTE,command,portable,cmd_byte,-,Language/runtime feature with no required PicoMite-only hardware.
Byte(,BYTE,function,portable,"cmd_byte, fun_byte",-,Language/runtime feature with no required PicoMite-only hardware.
Calc,CALC,command,defer,cmd_calc,-,Needs source review before deciding whether it is portable or backend-specific.
Camera,CAMERA,command,hardware,cmd_camera,-,"Depends on PicoMite hardware, display, input, bus, or firmware backend."
Chain,CHAIN,command,portable,cmd_chain,-,Language/runtime feature with no required PicoMite-only hardware.
Click(,CLICK,function,hardware,fun_click,-,"Depends on PicoMite hardware, display, input, bus, or firmware backend."
CMM2 Load,CMM2 LOAD,command,linux-specific,cmd_loadCMM2,-,"Needs Linux filesystem, process, or host configuration semantics."
CMM2 Run,CMM2 RUN,command,linux-specific,cmd_RunCMM2,-,"Needs Linux filesystem, process, or host configuration semantics."
Colour Map,COLOUR MAP,command,hardware,cmd_colourmap,-,"Depends on PicoMite hardware, display, input, bus, or firmware backend."
Configure,CONFIGURE,command,linux-specific,cmd_configure,-,"Needs Linux filesystem, process, or host configuration semantics."
CPU,CPU,command,hardware,cmd_cpu,-,"Depends on PicoMite hardware, display, input, bus, or firmware backend."
CtrlVal(,CTRLVAL,command,hardware,cmd_ctrlval,-,"Depends on PicoMite hardware, display, input, bus, or firmware backend."
CtrlVal(,CTRLVAL,function,hardware,"cmd_ctrlval, fun_ctrlval",-,"Depends on PicoMite hardware, display, input, bus, or firmware backend."
Date$,DATE$,command,linux-specific,cmd_date,function,"Needs Linux filesystem, process, or host configuration semantics."
Distance(,DISTANCE,function,hardware,fun_distance,-,"Depends on PicoMite hardware, display, input, bus, or firmware backend."
Draw3D,DRAW3D,command,hardware,cmd_3D,-,"Depends on PicoMite hardware, display, input, bus, or firmware backend."
Draw3D,DRAW3D,function,hardware,fun_3D,-,"Depends on PicoMite hardware, display, input, bus, or firmware backend."
