source,table,name,normalized,surfaces,flags,precedence,handler,line
MMB4L,command,Arc,ARC,command,T_CMD,0,cmd_arc,63
MMB4L,command,AutoSave,AUTOSAVE,command,T_CMD,0,cmd_autosave,64
MMB4L,command,Blit,BLIT,command,T_CMD,0,cmd_blit,65
MMB4L,command,Box,BOX,command,T_CMD,0,cmd_box,66
MMB4L,command,Call,CALL,command,T_CMD,0,cmd_call,67
MMB4L,command,Case Else,CASE ELSE,command,T_CMD,0,cmd_case,68
MMB4L,command,Case,CASE,command,T_CMD,0,cmd_case,69
MMB4L,command,Cat,CAT,command,T_CMD,0,cmd_inc,70
MMB4L,command,Chdir,CHDIR,command,T_CMD,0,cmd_chdir,71
MMB4L,command,Circle,CIRCLE,command,T_CMD,0,cmd_circle,72
MMB4L,command,Clear,CLEAR,command,T_CMD,0,cmd_clear,73
MMB4L,command,Close,CLOSE,command,T_CMD,0,cmd_close,74
MMB4L,command,Cls,CLS,command,T_CMD,0,cmd_cls,75
MMB4L,command,Color,COLOR,command,T_CMD,0,cmd_colour,76
MMB4L,command,Colour,COLOUR,command,T_CMD,0,cmd_colour,77
MMB4L,command,Console,CONSOLE,command,T_CMD,0,cmd_console,78
MMB4L,command,Const,CONST,command,T_CMD,0,cmd_const,79
MMB4L,command,Continue,CONTINUE,command,T_CMD,0,cmd_continue,80
MMB4L,command,Controller,CONTROLLER,command,T_CMD,0,cmd_device,81
MMB4L,command,Copy,COPY,command,T_CMD,0,cmd_copy,82
MMB4L,command,CSub,CSUB,command,T_CMD,0,cmd_cfunction,83
MMB4L,command,Cursor,CURSOR,command,T_CMD,0,cmd_cursor,84
MMB4L,command,Data,DATA,command,T_CMD,0,cmd_null,85
MMB4L,command,DefineFont,DEFINEFONT,command,T_CMD,0,cmd_cfunction,86
MMB4L,command,Device,DEVICE,command,T_CMD,0,cmd_device,87
MMB4L,command,Dim,DIM,command,T_CMD,0,cmd_dim,88
MMB4L,command,Do,DO,command,T_CMD,0,cmd_do,89
MMB4L,command,Edit,EDIT,command,T_CMD,0,cmd_edit,90
MMB4L,command,ElseIf,ELSEIF,command,T_CMD,0,cmd_else,91
MMB4L,command,Else If,ELSE IF,command,T_CMD,0,cmd_else,92
MMB4L,command,Else,ELSE,command,T_CMD,0,cmd_else,93
MMB4L,command,End,END,command,T_CMD,0,cmd_end,94
MMB4L,command,End CSub,END CSUB,command,T_CMD,0,cmd_null,95
MMB4L,command,End DefineFont,END DEFINEFONT,command,T_CMD,0,cmd_null,96
MMB4L,command,End Function,END FUNCTION,command,T_CMD,0,cmd_endfun,97
MMB4L,command,EndIf,ENDIF,command,T_CMD,0,cmd_null,98
MMB4L,command,End If,END IF,command,T_CMD,0,cmd_null,99
MMB4L,command,End Select,END SELECT,command,T_CMD,0,cmd_null,100
MMB4L,command,End Sub,END SUB,command,T_CMD,0,cmd_return,101
MMB4L,command,Erase,ERASE,command,T_CMD,0,cmd_erase,102
MMB4L,command,Error,ERROR,command,T_CMD,0,cmd_error,103
MMB4L,command,Execute,EXECUTE,command,T_CMD,0,cmd_execute,104
MMB4L,command,Exit Do,EXIT DO,command,T_CMD,0,cmd_exit,105
MMB4L,command,Exit For,EXIT FOR,command,T_CMD,0,cmd_exitfor,106
MMB4L,command,Exit Function,EXIT FUNCTION,command,T_CMD,0,cmd_endfun,107
