source,table,name,normalized,surfaces,flags,precedence,handler,line
PicoMite,command,Call,CALL,command,T_CMD,0,cmd_call,431
PicoMite,command,Clear,CLEAR,command,T_CMD,0,cmd_clear,432
PicoMite,command,Continue,CONTINUE,command,T_CMD,0,cmd_continue,433
PicoMite,command,Data,DATA,command,T_CMD,0,cmd_null,434
PicoMite,command,Dim,DIM,command,T_CMD,0,cmd_dim,435
PicoMite,command,Do,DO,command,T_CMD,0,cmd_do,436
PicoMite,command,Else If,ELSE IF,command,T_CMD,0,cmd_else,437
PicoMite,command,End If,END IF,command,T_CMD,0,cmd_null,438
PicoMite,command,Exit Do,EXIT DO,command,T_CMD,0,cmd_exit,439
PicoMite,command,ElseIf,ELSEIF,command,T_CMD,0,cmd_else,440
PicoMite,command,Case Else,CASE ELSE,command,T_CMD,0,cmd_case,441
PicoMite,command,Else,ELSE,command,T_CMD,0,cmd_else,442
PicoMite,command,Select Case,SELECT CASE,command,T_CMD,0,cmd_select,443
PicoMite,command,End Select,END SELECT,command,T_CMD,0,cmd_null,444
PicoMite,command,Case,CASE,command,T_CMD,0,cmd_case,445
PicoMite,command,EndIf,ENDIF,command,T_CMD,0,cmd_null,446
PicoMite,command,End Function,END FUNCTION,command,T_CMD,0,cmd_endfun,447
PicoMite,command,End Sub,END SUB,command,T_CMD,0,cmd_return,448
PicoMite,command,End,END,command,T_CMD,0,cmd_end,449
PicoMite,command,Erase,ERASE,command,T_CMD,0,cmd_erase,450
PicoMite,command,Error,ERROR,command,T_CMD,0,cmd_error,451
PicoMite,command,Exit For,EXIT FOR,command,T_CMD,0,cmd_exitfor,452
PicoMite,command,Exit Sub,EXIT SUB,command,T_CMD,0,cmd_return,453
PicoMite,command,Exit Function,EXIT FUNCTION,command,T_CMD,0,cmd_endfun,454
PicoMite,command,Exit,EXIT,command,T_CMD,0,cmd_exit,455
PicoMite,command,For,FOR,command,T_CMD,0,cmd_for,456
PicoMite,command,Function,FUNCTION,command,T_CMD,0,cmd_subfun,457
PicoMite,command,GoSub,GOSUB,command,T_CMD,0,cmd_gosub,458
PicoMite,command,GoTo,GOTO,command,T_CMD,0,cmd_goto,459
PicoMite,command,Inc,INC,command,T_CMD,0,cmd_inc,460
PicoMite,command,If,IF,command,T_CMD,0,cmd_if,461
PicoMite,command,Line Input,LINE INPUT,command,T_CMD,0,cmd_lineinput,462
PicoMite,command,Input,INPUT,command,T_CMD,0,cmd_input,463
PicoMite,command,Let,LET,command,T_CMD,0,cmd_let,464
PicoMite,command,List,LIST,command,T_CMD,0,cmd_list,465
PicoMite,command,Load,LOAD,command,T_CMD,0,cmd_load,466
PicoMite,command,Local,LOCAL,command,T_CMD,0,cmd_dim,467
PicoMite,command,Loop,LOOP,command,T_CMD,0,cmd_loop,468
PicoMite,command,Next,NEXT,command,T_CMD,0,cmd_next,469
PicoMite,command,On,ON,command,T_CMD,0,cmd_on,470
PicoMite,command,Print,PRINT,command,T_CMD,0,cmd_print,471
PicoMite,command,Read,READ,command,T_CMD,0,cmd_read,472
PicoMite,command,Rem,REM,command,T_CMD,0,cmd_null,473
PicoMite,command,Restore,RESTORE,command,T_CMD,0,cmd_restore,474
PicoMite,command,Return,RETURN,command,T_CMD,0,cmd_return,475
PicoMite,command,Run,RUN,command,T_CMD,0,cmd_run,476
PicoMite,command,Save,SAVE,command,T_CMD,0,cmd_save,477
PicoMite,command,Static,STATIC,command,T_CMD,0,cmd_dim,478
PicoMite,command,Sub,SUB,command,T_CMD,0,cmd_subfun,479
PicoMite,command,Trace,TRACE,command,T_CMD,0,cmd_trace,480
PicoMite,command,While,WHILE,command,T_CMD,0,cmd_do,481
PicoMite,command,Const,CONST,command,T_CMD,0,cmd_const,482
PicoMite,command,Execute,EXECUTE,command,T_CMD,0,cmd_execute,483
PicoMite,command,MID$(,MID$,"command,function",T_CMD | T_FUN,0,cmd_mid,484
PicoMite,command,/*,/*,command,T_CMD,0,cmd_comment,485
PicoMite,command,*/,*/,command,T_CMD,0,cmd_endcomment,486
PicoMite,command,Open,OPEN,command,T_CMD,0,cmd_open,487
PicoMite,command,Close,CLOSE,command,T_CMD,0,cmd_close,488
PicoMite,command,Kill,KILL,command,T_CMD,0,cmd_kill,489
PicoMite,command,Rmdir,RMDIR,command,T_CMD,0,cmd_rmdir,490
PicoMite,command,Chdir,CHDIR,command,T_CMD,0,cmd_chdir,491
PicoMite,command,Mkdir,MKDIR,command,T_CMD,0,cmd_mkdir,492
PicoMite,command,Copy,COPY,command,T_CMD,0,cmd_copy,493
PicoMite,command,Rename,RENAME,command,T_CMD,0,cmd_name,494
PicoMite,command,Seek,SEEK,command,T_CMD,0,cmd_seek,495
PicoMite,command,Flash,FLASH,command,T_CMD,0,cmd_flash,496
PicoMite,command,VAR,VAR,command,T_CMD,0,cmd_var,497
PicoMite,command,Flush,FLUSH,command,T_CMD,0,cmd_flush,498
PicoMite,command,Drive,DRIVE,command,T_CMD,0,cmd_drive,499
PicoMite,command,Play,PLAY,command,T_CMD,0,cmd_play,500
PicoMite,command,PIO,PIO,command,T_CMD,0,cmd_pio,501
PicoMite,command,New,NEW,command,T_CMD,0,cmd_new,502
PicoMite,command,Pixel,PIXEL,command,T_CMD,0,cmd_pixel,503
PicoMite,command,Circle,CIRCLE,command,T_CMD,0,cmd_circle,504
PicoMite,command,Line,LINE,command,T_CMD,0,cmd_line,505
PicoMite,command,Box,BOX,command,T_CMD,0,cmd_box,506
PicoMite,command,RBox,RBOX,command,T_CMD,0,cmd_rbox,507
PicoMite,command,CLS,CLS,command,T_CMD,0,cmd_cls,508
PicoMite,command,Font,FONT,command,T_CMD,0,cmd_font,509
PicoMite,command,Triangle,TRIANGLE,command,T_CMD,0,cmd_triangle,510
PicoMite,command,Arc,ARC,command,T_CMD,0,cmd_arc,511
PicoMite,command,Polygon,POLYGON,command,T_CMD,0,cmd_polygon,512
PicoMite,command,FRAMEBUFFER,FRAMEBUFFER,command,T_CMD,0,cmd_framebuffer,513
PicoMite,command,Sprite,SPRITE,command,T_CMD,0,cmd_sprite,514
PicoMite,command,Blit,BLIT,command,T_CMD,0,cmd_blit,515
PicoMite,command,Edit File,EDIT FILE,command,T_CMD,0,cmd_editfile,516
PicoMite,command,Edit,EDIT,command,T_CMD,0,cmd_edit,517
PicoMite,command,ADC,ADC,command,T_CMD,0,cmd_adc,518
PicoMite,command,Pin(,PIN,"command,function",T_CMD | T_FUN,0,cmd_pin,519
PicoMite,command,SetPin,SETPIN,command,T_CMD,0,cmd_setpin,520
PicoMite,command,Pulse,PULSE,command,T_CMD,0,cmd_pulse,521
PicoMite,command,Port(,PORT,"command,function",T_CMD | T_FUN,0,cmd_port,522
PicoMite,command,IR,IR,command,T_CMD,0,cmd_ir,523
PicoMite,command,Blit Memory,BLIT MEMORY,command,T_CMD,0,cmd_blitmemory,524
PicoMite,command,GUI,GUI,command,T_CMD,0,cmd_gui,526
PicoMite,command,GUI,GUI,command,T_CMD,0,cmd_guiMX170,528
PicoMite,command,Device,DEVICE,command,T_CMD,0,cmd_device,530
PicoMite,command,PWM,PWM,command,T_CMD,0,cmd_pwm,531
PicoMite,command,CSub,CSUB,command,T_CMD,0,cmd_cfunction,532
PicoMite,command,End CSub,END CSUB,command,T_CMD,0,cmd_null,533
PicoMite,command,SYNC,SYNC,command,T_CMD,0,cmd_sync,534
PicoMite,command,I2C,I2C,command,T_CMD,0,cmd_i2c,535
PicoMite,command,I2C2,I2C2,command,T_CMD,0,cmd_i2c2,536
PicoMite,command,RTC,RTC,command,T_CMD,0,cmd_rtc,537
PicoMite,command,Math,MATH,command,T_CMD,0,cmd_math,538
PicoMite,command,Memory,MEMORY,command,T_CMD,0,cmd_memory,539
PicoMite,command,Option,OPTION,command,T_CMD,0,cmd_option,540
PicoMite,command,Pause,PAUSE,command,T_CMD,0,cmd_pause,541
PicoMite,command,Timer,TIMER,"command,function",T_CMD | T_FUN,0,cmd_timer,542
PicoMite,command,Date$,DATE$,"command,function",T_CMD | T_FUN,0,cmd_date,543
PicoMite,command,Time$,TIME$,"command,function",T_CMD | T_FUN,0,cmd_time,544
PicoMite,command,IReturn,IRETURN,command,T_CMD,0,cmd_ireturn,545
PicoMite,command,Poke,POKE,command,T_CMD,0,cmd_poke,546
PicoMite,command,SetTick,SETTICK,command,T_CMD,0,cmd_settick,547
